Macrocategoria;Linea;Superficie;Forma;Profilo;Codice Prodotto;Larghezza (mm);Altezza (mm);Proiezione (mm);Arco (mm);LVC (mm);Volume (ml)
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-180;90;90;40;64;64;180
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-210;95;95;42;67;67;210
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-235;100;100;44;71;71;235
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-255;103;103;45;72;72;255
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-275;105;105;45;74;74;275
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-295;108;108;46;75;75;295
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-315;110;110;47;77;77;315
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-335;113;113;48;79;79;335
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-360;115;115;49;80;80;360
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-400;120;120;51;83;83;400
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-450;125;125;53;87;87;450
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-505;130;130;55;90;90;505
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-560;135;135;57;93;93;560
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-620;140;140;59;96;96;620
Protesi Mammarie;SublimeLine;MESMO;Même;Alto;15726-690;145;145;61;100;100;690
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-155;80;80;45;62;62;155
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-180;85;85;47;66;66;180
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-215;90;90;49;69;69;215
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-250;95;95;51;73;73;250
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-285;100;100;53;77;77;285
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-305;103;103;54;78;78;305
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-330;105;105;55;80;80;330
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-355;108;108;56;82;82;355
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-380;110;110;57;84;84;380
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-430;115;115;59;87;87;430
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-485;120;120;61;91;91;485
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-545;125;125;63;94;94;545
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-610;130;130;65;98;98;610
Protesi Mammarie;SublimeLine;MESMO;Même;Extra Alto;15727-675;135;135;67;101;101;675
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-165;110;110;29;48;68;165
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-185;115;115;30;50;71;185
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-210;120;120;31;52;74;210
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-235;125;125;32;54;77;235
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-265;130;130;33;56;80;265
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-290;135;135;34;58;83;290
Protesi Mammarie;SublimeLine;MESMO;Replicon;Basso;15734-320;140;140;35;59;86;320
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-110;85;85;32;44;60;110
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-125;90;90;33;46;63;125
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-150;95;95;35;48;66;150
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-170;100;100;36;50;69;170
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-195;105;105;37;52;72;195
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-220;110;110;38;55;75;220
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-255;115;115;40;57;78;255
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-280;120;120;41;59;82;280
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-320;125;125;43;61;85;320
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-350;130;130;44;63;88;350
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-390;135;135;45;66;91;390
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-435;140;140;47;68;94;435
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-480;145;145;48;70;97;480
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-530;150;150;49;72;100;530
Protesi Mammarie;SublimeLine;MESMO;Replicon;Moderato;15735-580;155;155;51;74;103;580
